y,preds,name,type,cell_type_label,disease
0.0,0,ATP6V1A,test,acinar cell of salivary gland,RA
0.0,0,CFTR,test,acinar cell of salivary gland,RA
0.0,0,KCNMA1,test,acinar cell of salivary gland,RA
0.0,0,GCAT,test,acinar cell of salivary gland,RA
0.0,0,IDH2,test,acinar cell of salivary gland,RA
0.0,0,ATOX1,test,acinar cell of salivary gland,RA
0.0,0,GSS,test,acinar cell of salivary gland,RA
0.0,0,PSAT1,test,acinar cell of salivary gland,RA
0.0,0,MMACHC,test,acinar cell of salivary gland,RA
0.0,0,PIK3CB,test,acinar cell of salivary gland,RA
0.0,0,HIPK2,test,acinar cell of salivary gland,RA
0.0,0,RARB,test,acinar cell of salivary gland,RA
0.0,0,PAPSS1,test,acinar cell of salivary gland,RA
0.0,0,PRKACB,test,acinar cell of salivary gland,RA
0.0,0,GRIN1,test,acinar cell of salivary gland,RA
0.0,0,VLDLR,test,acinar cell of salivary gland,RA
0.0,0,HIBADH,test,acinar cell of salivary gland,RA
0.0,0,PDPK1,test,acinar cell of salivary gland,RA
0.0,0,ACADS,test,acinar cell of salivary gland,RA
0.0,0,ACTN1,test,acinar cell of salivary gland,RA
0.0,0,COX7A1,test,acinar cell of salivary gland,RA
0.0,0,SLC11A2,test,acinar cell of salivary gland,RA
1.0,0,GMPS,test,acinar cell of salivary gland,RA
0.0,0,VKORC1L1,test,acinar cell of salivary gland,RA
1.0,0,TUBB,test,acinar cell of salivary gland,RA
0.0,0,ESRRG,test,acinar cell of salivary gland,RA
0.0,0,ALDH7A1,test,acinar cell of salivary gland,RA
0.0,0,ECHS1,test,acinar cell of salivary gland,RA
0.0,0,CA2,test,acinar cell of salivary gland,RA
0.0,0,STK16,test,acinar cell of salivary gland,RA
0.0,0,CADPS2,test,acinar cell of salivary gland,RA
0.0,0,EPHA7,test,acinar cell of salivary gland,RA
0.0,0,GSTZ1,test,acinar cell of salivary gland,RA
0.0,0,PHGDH,test,acinar cell of salivary gland,RA
0.0,0,ALKBH3,test,acinar cell of salivary gland,RA
0.0,0,COMT,test,acinar cell of salivary gland,RA
0.0,0,YES1,test,acinar cell of salivary gland,RA
0.0,0,PAK3,test,acinar cell of salivary gland,RA
0.0,0,EPHB4,test,acinar cell of salivary gland,RA
0.0,0,P4HB,test,acinar cell of salivary gland,RA
0.0,0,TRPV4,test,acinar cell of salivary gland,RA
0.0,0,ATF6,test,acinar cell of salivary gland,RA
0.0,0,FES,test,acinar cell of salivary gland,RA
0.0,0,CAMKK1,test,acinar cell of salivary gland,RA
0.0,0,MAPK6,test,acinar cell of salivary gland,RA
0.0,0,SLC12A2,test,acinar cell of salivary gland,RA
0.0,0,ASRGL1,test,acinar cell of salivary gland,RA
0.0,0,ALDH1A1,test,acinar cell of salivary gland,RA
0.0,0,ERBB2,test,acinar cell of salivary gland,RA
0.0,0,PYCR1,test,acinar cell of salivary gland,RA
0.0,0,MOCS2,test,acinar cell of salivary gland,RA
0.0,0,HLCS,test,acinar cell of salivary gland,RA
0.0,0,BRCC3,test,acinar cell of salivary gland,RA
0.0,0,PDXK,test,acinar cell of salivary gland,RA
0.0,0,HTR3A,test,acinar cell of salivary gland,RA
0.0,0,HDAC11,test,acinar cell of salivary gland,RA
0.0,0,CCND1,test,acinar cell of salivary gland,RA
0.0,0,FGFR2,test,acinar cell of salivary gland,RA
1.0,0,PDE4D,test,acinar cell of salivary gland,RA
0.0,0,RGN,test,acinar cell of salivary gland,RA
0.0,0,MTOR,test,acinar cell of salivary gland,RA
0.0,0,F3,test,acinar cell of salivary gland,RA
0.0,0,ERBB4,test,acinar cell of salivary gland,RA
0.0,0,CSRP1,test,acinar cell of salivary gland,RA
0.0,0,MAP3K4,test,acinar cell of salivary gland,RA
0.0,0,ATP2B2,test,acinar cell of salivary gland,RA
0.0,0,IGF1R,test,acinar cell of salivary gland,RA
1.0,0,MAP2K2,test,acinar cell of salivary gland,RA
0.0,0,ACP1,test,acinar cell of salivary gland,RA
0.0,0,ATP6V0A2,test,acinar cell of salivary gland,RA
0.0,0,INSR,test,acinar cell of salivary gland,RA
0.0,0,TRAPPC3,test,acinar cell of salivary gland,RA
0.0,0,DSP,test,acinar cell of salivary gland,RA
0.0,0,EEF2,test,acinar cell of salivary gland,RA
1.0,0,P2RX7,test,acinar cell of salivary gland,RA
1.0,0,TUBB4B,test,acinar cell of salivary gland,RA
0.0,0,MAP3K13,test,acinar cell of salivary gland,RA
0.0,0,ATP6V0B,test,acinar cell of salivary gland,RA
0.0,0,AHCY,test,acinar cell of salivary gland,RA
0.0,0,SMO,test,acinar cell of salivary gland,RA
0.0,0,PLOD1,test,acinar cell of salivary gland,RA
0.0,0,GRIN2C,test,acinar cell of salivary gland,RA
0.0,0,CRAT,test,acinar cell of salivary gland,RA
0.0,0,PIM3,test,acinar cell of salivary gland,RA
0.0,0,ERO1B,test,acinar cell of salivary gland,RA
0.0,0,PSMB5,test,acinar cell of salivary gland,RA
0.0,0,ATP2C1,test,acinar cell of salivary gland,RA
0.0,0,KRT8,test,acinar cell of salivary gland,RA
0.0,0,NOMO1,test,acinar cell of salivary gland,RA
1.0,0,FDPS,test,acinar cell of salivary gland,RA
0.0,0,EPCAM,test,acinar cell of salivary gland,RA
0.0,0,NEIL1,test,acinar cell of salivary gland,RA
0.0,0,PRLR,test,acinar cell of salivary gland,RA
0.0,0,COQ8A,test,acinar cell of salivary gland,RA
0.0,0,FDXR,test,acinar cell of salivary gland,RA
0.0,0,CACNB2,test,acinar cell of salivary gland,RA
0.0,0,ATP6V1D,test,acinar cell of salivary gland,RA
